Approved symbol	NCBI Gene ID(supplied by NCBI)	Ensembl ID(supplied by Ensembl)	UniProt ID(supplied by UniProt)
A1BG	1	ENSG00000121410	P04217
A1BG-AS1	503538	ENSG00000268895	
A1CF	29974	ENSG00000148584	Q9NQ94
A1S9T			
A2M	2	ENSG00000175899	P01023
A2M-AS1	144571	ENSG00000245105	
A2ML1	144568	ENSG00000166535	A8K2U0
A2ML1-AS1	100874108	ENSG00000256661	
A2ML1-AS2	106478979	ENSG00000256904	
A2MP1	3	ENSG00000256069	
A2MR			
A2MRAP			
A3GALT2	127550	ENSG00000184389	U3KPV4
A4GALT	53947	ENSG00000128274	Q9NPC4
A4GNT	51146	ENSG00000118017	Q9UNA3
A12M1			
A12M2			
A12M3			
A12M4			
AA			
AAAS	8086	ENSG00000094914	Q9NRG9
AABT			
AAC1			
AAC2			
AACS	65985	ENSG00000081760	Q86V21
AACSP1	729522	ENSG00000250420	
AACT			
AADAC	13	ENSG00000114771	P22760
AADACL2	344752	ENSG00000197953	Q6P093
AADACL2-AS1	101928142	ENSG00000242908	
AADACL3	126767	ENSG00000188984	Q5VUY0
AADACL4	343066	ENSG00000204518	Q5VUY2
AADACP1	201651	ENSG00000240602	
AADAT	51166	ENSG00000109576	Q8N5Z0
AAGAB	79719	ENSG00000103591	Q6PD74
AAK1	22848	ENSG00000115977	Q2M2I8
AAMDC	28971	ENSG00000087884	Q9H7C9
AAMP	14	ENSG00000127837	Q13685
AANAT	15	ENSG00000129673	Q16613
AAR2	25980	ENSG00000131043	Q9Y312
AARD	441376	ENSG00000205002	Q4LEZ3
AARS1	16	ENSG00000090861	P49588
AARS1P1	106480683	ENSG00000249038	
AARS2	57505	ENSG00000124608	Q5JTZ9
AARSD1	80755	ENSG00000266967	Q9BTE6
AARSD1P1	117981788		
AASDH	132949	ENSG00000157426	Q4L235
AASDHPPT	60496	ENSG00000149313	Q9NRN7
AASS	10157	ENSG00000008311	Q9UDR5
AATBC	284837	ENSG00000215458	
AATF	26574	ENSG00000275700	Q9NY61
AATK	9625	ENSG00000181409	Q6ZMQ8
AAVS1	17		
ABALON	103021294	ENSG00000281376	
ABAT	18	ENSG00000183044	P80404
ABC1			
ABC2			
ABC3			
ABC7			
ABC50			
ABCA1	19	ENSG00000165029	O95477
ABCA2	20	ENSG00000107331	Q9BZC7
ABCA3	21	ENSG00000167972	Q99758
ABCA4	24	ENSG00000198691	P78363
ABCA5	23461	ENSG00000154265	Q8WWZ7
ABCA6	23460	ENSG00000154262	Q8N139
ABCA7	10347	ENSG00000064687	Q8IZY2
ABCA8	10351	ENSG00000141338	O94911
ABCA9	10350	ENSG00000154258	Q8IUA7
ABCA9-AS1	104355297	ENSG00000231749	
ABCA10	10349	ENSG00000154263	Q8WWZ4
ABCA11P	79963	ENSG00000251595	Q4W5N1
ABCA12	26154	ENSG00000144452	Q86UK0
ABCA13	154664	ENSG00000179869	Q86UQ4
ABCA17P	650655	ENSG00000238098	
ABCB1	5243	ENSG00000085563	P08183
ABCB2			
ABCB3			
ABCB4	5244	ENSG00000005471	P21439
ABCB5	340273	ENSG00000004846	Q2M3G0
ABCB6	10058	ENSG00000115657	Q9NP58
ABCB7	22	ENSG00000131269	O75027
ABCB8	11194	ENSG00000197150	Q9NUT2
ABCB9	23457	ENSG00000150967	Q9NP78
ABCB10	23456	ENSG00000135776	Q9NRK6
ABCB10P1	56476	ENSG00000274099	
ABCB10P2			
ABCB10P3	728248	ENSG00000261524	
ABCB10P4	100132289	ENSG00000260053	
ABCB11	8647	ENSG00000073734	O95342
ABCC1	4363	ENSG00000103222	P33527
ABCC2	1244	ENSG00000023839	Q92887
ABCC3	8714	ENSG00000108846	O15438
ABCC4	10257	ENSG00000125257	O15439
ABCC5	10057	ENSG00000114770	O15440
ABCC5-AS1	100873982	ENSG00000223882	
ABCC6	368	ENSG00000091262	O95255
ABCC6P1	653190	ENSG00000256340	
ABCC6P2	730013	ENSG00000255277	
ABCC7			
ABCC8	6833	ENSG00000006071	Q09428
ABCC9	10060	ENSG00000069431	O60706
ABCC10	89845	ENSG00000124574	Q5T3U5
ABCC11	85320	ENSG00000121270	Q96J66
ABCC12	94160	ENSG00000140798	Q96J65
ABCC13	150000	ENSG00000243064	
ABCD1	215	ENSG00000101986	P33897
ABCD1P1	23785		
