id	subject	predicate	object	category	relation
uuid:abf641cc-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000146648	biolink:genetically_interacts_with	ensembl:ENSG00000004059		
uuid:abf65ca2-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000146648	biolink:genetically_interacts_with	ensembl:ENSG00000164086		
uuid:abf67318-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000146648	biolink:genetically_interacts_with	ensembl:ENSG00000100485		
uuid:abf6915e-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000146648	biolink:genetically_interacts_with	ensembl:ENSG00000162733		
uuid:abf6b166-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000146648	biolink:genetically_interacts_with	ensembl:ENSG00000155090		
uuid:abf6dea2-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000146648	biolink:genetically_interacts_with	ensembl:ENSG00000183734		
uuid:abf72b3c-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000146648	biolink:genetically_interacts_with	ensembl:ENSG00000171132		
uuid:abf7607a-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000146648	biolink:genetically_interacts_with	ensembl:ENSG00000100784		
uuid:abf79b62-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000146648	biolink:genetically_interacts_with	ensembl:ENSG00000052802		
uuid:abf7d014-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000146648	biolink:genetically_interacts_with	ensembl:ENSG00000142875		
uuid:abf7ede2-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000146648	biolink:genetically_interacts_with	ensembl:ENSG00000107562		
uuid:abf81268-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000146648	biolink:genetically_interacts_with	ensembl:ENSG00000139318		
uuid:abf8316c-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000146648	biolink:genetically_interacts_with	ensembl:ENSG00000151422		
uuid:abf84850-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000146648	biolink:genetically_interacts_with	ensembl:ENSG00000062524		
uuid:abf8666e-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000146648	biolink:genetically_interacts_with	ensembl:ENSG00000168374		
uuid:abf888ec-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000146648	biolink:genetically_interacts_with	ensembl:ENSG00000087586		
uuid:abf8a3c2-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000141510	biolink:genetically_interacts_with	ensembl:ENSG00000077264		
uuid:abf8bbb4-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000141510	biolink:genetically_interacts_with	ensembl:ENSG00000101049		
uuid:abf8d48c-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000109339		
uuid:abf8ef8a-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000109339		
uuid:abf906fa-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000109339		
uuid:abf9211c-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000109339		
uuid:abf938aa-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000109339		
uuid:abf956e6-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000109339		
uuid:abf98224-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000109339		
uuid:abf9b050-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000109339		
uuid:abf9d8be-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000050748		
uuid:abf9fd12-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000050748		
uuid:abfa24fe-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000166851		
uuid:abfa424a-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000166851		
uuid:abfa611c-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000064393		
uuid:abfa7cc4-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000064393		
uuid:abfa94e8-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000132356		
uuid:abfaaff0-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000132356		
uuid:abfae5c4-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000103319		
uuid:abfb41d6-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000103319		
uuid:abfb6aa8-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000107968		
uuid:abfb91ae-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000107968		
uuid:abfbb210-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000135828		
uuid:abfbd844-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000135828		
uuid:abfbf66c-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000196132		
uuid:abfc0e90-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000196132		
uuid:abfc24a2-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000008128		
uuid:abfc434c-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000008128		
uuid:abfc6c96-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000008128		
uuid:abfc95e0-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000008128		
uuid:abfcbf8e-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000105053		
uuid:abfcfd50-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000105053		
uuid:abfd3d6a-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000012983		
uuid:abfd5f7a-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000012983		
uuid:abfd7d5c-d563-11ec-a19b-00155dc6d94e	ensembl:ENSG00000134086	biolink:genetically_interacts_with	ensembl:ENSG00000068078		
